id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Atp6v0c	-3.3309	0.042051	-4.5874	0.00019
Nup85	-2.4576	0.043936	-3.2767	0.000527
Pwp2	-2.4656	0.044888	-1.9699	0.047368
Rabggtb	-3.9978	0.04516	-4.7639	0.006609
1110037F02Rik	-2.1514	0.0459	-2.2899	0.004239
Cct7	-4.0021	0.047785	-4.1878	0.00019
Abcf1	-1.346	0.047785	-0.33393	0.044266
Kif18b	-2.3577	0.047785	-2.3939	0.00512
Nfyb	-1.8829	0.04996	-1.8375	0.033234
Dpm3	-1.9952	0.054407	-2.5015	0.006609
Gm9897	-0.98577	0.054979	-1.3195	0.052598
Dtymk	-2.5314	0.060129	-3.2751	0.00512
Eif3j2	-1.6629	0.055587	-2.3477	0.001851
Dync1h1	-2.4331	0.056864	-2.8714	0.000391
Rps20	-2.1698	0.052822	-3.0417	0.000864
Tsr2	-2.4085	0.056864	-3.0854	0.002318
Atrip	-2.3468	0.056864	-2.8457	0.005174
Vars	-1.7289	0.056864	-2.4247	0.00073
Ubr4	-1.6219	0.057238	-1.8859	0.067545
Pgk1	-1.9375	0.057238	-2.5596	0.003153
Med6	-3.0142	0.057238	-3.1773	0.014868
Bcl2l1	-2.1881	0.057238	-2.9981	0.004343
Pfkp	-1.8517	0.057238	-1.5209	0.054597
Lrr1	-1.7295	0.057539	-2.0318	0.025509
Nedd8	-2.4311	0.049557	-2.7593	0.043957
Ltv1	-1.9791	0.059366	-3.2952	0.000917
Uba2	-3.9068	0.056864	-4.2335	0.00019
Wdr5	-2.5884	0.060129	-3.7363	0.000619
Tsen34	-1.1449	0.060419	-1.2002	0.086261
Spc25	-4.5708	0.063876	-5.0403	0.001989
Rae1	-2.0446	0.063876	-3.0816	0.00019
Cdipt	-2.306	0.065228	-2.5573	0.002774
Psmd11	-2.8328	0.065228	-3.8029	0.000917
Atp5d	-1.6435	0.065228	-2.4387	0.009661
Rps5	-2.1436	0.065228	-2.9407	0.00019
Ddx20	-1.5344	0.065228	-2.2043	0.01612
Cnot2	-1.7856	0.092829	-1.5428	0.026136
Sdad1	-3.0963	0.060129	-4.1637	0.00073
Heatr1	-1.8659	0.065586	-2.7466	0.001289
Psma3	-4.3471	0.057238	-4.3093	0.028012
Adk	-2.7049	0.070494	-3.0642	0.011605
Imp4	-1.6566	0.078119	-2.6523	0.005418
Bap1	-2.158	0.078119	-2.4814	0.012932
Sap18	-2.4797	0.060275	-3.3136	0.002742
Plk1	-2.7332	0.079044	-3.5539	0.001337
Nubp1	-2.4449	0.081376	-3.0311	0.005147
Las1l	-2.4574	0.081969	-3.081	0.000391
Ppcdc	-1.764	0.082203	-2.2985	0.016413
Crk	-4.208	0.088184	-4.4439	0.000391
Eif2s3x	-2.0892	0.088184	-2.6019	0.000917
Sin3a	-2.0268	0.088184	-2.2494	0.011605
Sf3b5	-1.9297	0.088184	-3.0455	0.000864
Chek1	-3.7563	0.088184	-4.9028	0.004309
Ints3	-2.2105	0.089787	-3.0306	0.003801
Fam96b	-2.3411	0.091141	-2.7746	0.000527
Psmd14	-2.796	0.091141	-4.4242	0.000917
Top2a	-2.6135	0.091141	-3.9595	0.001421
Eif4a1	-2.5148	0.091141	-3.1992	0.000917
Gtpbp4	-3.36	0.091141	-3.7525	0.001337
Hus1	-2.9967	0.081969	-3.5274	0.005731
Pdhb	-1.4744	0.092456	-1.9778	0.040208
Gpi1	-2.0038	0.093531	-2.3404	0.034943
Psmb6	-2.9825	0.094417	-4.0727	0.001238
AK010878	-2.1155	0.094771	-3.1569	0.005227
Rbbp7	-2.0352	0.094903	-1.7351	0.04278
Rps14	-2.4687	0.088184	-3.4379	0.00019
Sfi1	-2.3125	0.096992	-3.1242	0.000917
Eno1	-2.6425	0.088184	-3.0355	0.057975
Smc4	-3.3017	0.099116	-4.5527	0.001238
Ddx5	-1.8869	0.099116	-2.7207	0.015955
Ddx47	-2.1095	0.099116	-2.7887	0.001851
Rabggta	-2.3458	0.099563	-3.0463	0.012192
Hist1h3g	-1.8049	0.095574	-2.8987	0.002643
